file_name,text
image_0,පුරුෂ
image_10,නීල් රූපසිංහ
image_100,සහෝදරයා
image_1002,පෙරේරලාගේ සමන් කුමාර පීරිස්
image_1003,පී . සමන් කුමාර පීරිස්
image_1004,"88 , වෑබොඩ පාර, ජා ඇල"
image_1005,"ජහුටා ඉන්ටර්නැෂනල් , බේකරි පාර , කොළඹ 03"
image_1006,රුවින්දි මල්ෂා පෙරේරා
image_1007,රීටා මල්කි පෙරේරා
image_1009,සමන්කුමාර පීරිස්
image_101,පියා
image_1010,හැටන් නැෂනල් බැංකුව
image_1011,සිංහල
image_1012,නැත
image_1013,මාස 02
image_1014,ඔව්
image_1015,චමෝද් මධුසංක
image_1016,දිසා අධිකාරිය
image_1017,"දයාරත්න පාර , වලස්මුල්ල"
image_1018,තැපැල් හැඳුනුම්පත අලුත්වැඩියාකිරීම
image_1019,ලිඛිත ආකෘතියකින්
image_1020,ඉංජිනේරු
image_1021,කුරණ
image_1022,කුරණ
image_1023,මොරටුව
image_1024,ඔව්
image_1025,එස්. ඒ. නිපුන් තේජාන් ෆොන්සේකා
image_1028,හතර වන වසර
image_1029,එස්.ඒ.කේ.ආර්.සමරසේකර
image_103,පුරුෂ
image_1030,ඔව්
image_1031,ඔව්
image_1032,වසර වසර 35
image_1033,පිළිමතලාව
image_1035,කඩවලගෙදර
image_1036,මූණමල්දෙණිය
image_1037,මරදංකඩවල
image_1038,ඛනිජ ඉෂ්ටාර්ථ සාකච්ඡා ආඝ්‍රාණ ප්‍රකාශයේදී සංඝ
image_104,ස්ත්‍රී
image_1040,භක්‍ෂ ඍණ
image_1041,ඛනිජ ඉෂ්ටාර්ථ සාකච්ඡා ආඝ්‍රාණ ප්‍රකාශයේදී සංඝ බොජ්ඣංග
image_1042,පිපිඤ්ඤා ගූඪ ඖෂධ මඬුළු එළු ආරූඪ ඵලදායී
image_1044,ෆලූඩා තෘණ රූ ඊළඟ භක්‍ෂ ඍණ
image_1046,ප්‍රකාශයේදී සංඝ බොජ්ඣංග පිපිඤ්ඤා ගූඪ
image_1047,ඖෂධ මඬුළු එළු ආරූඪ ඵලදායී ඥාතව්‍ය
image_1049,ෆලූඩා තෘණ රූ ඊළඟ භක්‍ෂ ඍණ
image_1050,ඵලදායී ඥාතව්‍ය ඡටාව අඹ හඳ හඬ ඉඦූ උඩඟු ඨාන
image_1053,පිපිඤ්ඤා ගූඪ ඖෂධ මඬුළු
image_1054,එළු ආරූඪ ඵලදායී ඥාතව්‍ය
image_1055,ඡටාව අඹ හඳ හඬ ඉඦූ උඩඟු ඨාන
image_1057,ඒ අතීතය මේ මොහොතේ මතක් වුණේ දඬුලේනා පිළිබඳ
