akshara,codepoints,freq
"ය","U+0DBA",1699042
"ව","U+0DC0",1334005
"න","U+0DB1",1050600
"ර","U+0DBB",1005096
"ක","U+0D9A",963730
"ම","U+0DB8",931960
"ස","U+0DC3",805475
"න්","U+0DB1 U+0DCA",711351
"ට","U+0DA7",629138
"ත","U+0DAD",613206
"ල","U+0DBD",604335
"අ","U+0D85",581203
"ප","U+0DB4",550137
"වි","U+0DC0 U+0DD2",514147
"හ","U+0DC4",473308
"ද","U+0DAF",389786
"ග","U+0D9C",357976
"ක්","U+0D9A U+0DCA",341065
"ති","U+0DAD U+0DD2",329361
"සි","U+0DC3 U+0DD2",323206
"නි","U+0DB1 U+0DD2",302926
"ත්","U+0DAD U+0DCA",284534
"කි","U+0D9A U+0DD2",265381
"ණ","U+0DAB",249630
"එ","U+0D91",244957
"හි","U+0DC4 U+0DD2",235518
"ඇ","U+0D87",233692
"බ","U+0DB6",232095
"යි","U+0DBA U+0DD2",223397
"යේ","U+0DBA U+0DDA",212463
"තු","U+0DAD U+0DD4",210622
"කා","U+0D9A U+0DCF",207595
"රි","U+0DBB U+0DD2",207307
"යා","U+0DBA U+0DCF",206722
"මා","U+0DB8 U+0DCF",198796
"හා","U+0DC4 U+0DCF",198455
"නු","U+0DB1 U+0DD4",186029
"ම්","U+0DB8 U+0DCA",181002
"දී","U+0DAF U+0DD3",180193
"ජ","U+0DA2",173804
"ලි","U+0DBD U+0DD2",170397
"රු","U+0DBB U+0DD4",169228
"වා","U+0DC0 U+0DCF",166442
"මු","U+0DB8 U+0DD4",164698
"ළ","U+0DC5",163926
"ප්‍ර","U+0DB4 U+0DCA U+200D U+0DBB",162112
"දි","U+0DAF U+0DD2",161192
"ආ","U+0D86",159784
"මෙ","U+0DB8 U+0DD9",157616
"පි","U+0DB4 U+0DD2",155430
"වේ","U+0DC0 U+0DDA",152843
"මි","U+0DB8 U+0DD2",152556
"වෙ","U+0DC0 U+0DD9",145439
"යෙ","U+0DBA U+0DD9",142504
"ශ","U+0DC1",139900
"නා","U+0DB1 U+0DCF",135518
"දු","U+0DAF U+0DD4",133389
"කු","U+0D9A U+0DD4",133229
"ඉ","U+0D89",132562
"රා","U+0DBB U+0DCF",129643
"සු","U+0DC3 U+0DD4",124274
"රී","U+0DBB U+0DD3",120440
"වැ","U+0DC0 U+0DD0",117368
"සා","U+0DC3 U+0DCF",116414
"ඔ","U+0D94",112429
"තා","U+0DAD U+0DCF",111168
"ඳ","U+0DB3",110828
"යු","U+0DBA U+0DD4",109240
"උ","U+0D8B",107776
"පා","U+0DB4 U+0DCF",107373
"ල්","U+0DBD U+0DCA",105498
"ලෙ","U+0DBD U+0DD9",103929
"ස්","U+0DC3 U+0DCA",102075
"හැ","U+0DC4 U+0DD0",100027
"දෙ","U+0DAF U+0DD9",97659
"සං","U+0DC3 U+0D82",94499
"වී","U+0DC0 U+0DD3",93759
"හු","U+0DC4 U+0DD4",88445
"දා","U+0DAF U+0DCF",87062
"වූ","U+0DC0 U+0DD6",86606
"වු","U+0DC0 U+0DD4",83465
"ලා","U+0DBD U+0DCF",83464
"භා","U+0DB7 U+0DCF",82880
"පු","U+0DB4 U+0DD4",82634
"ගේ","U+0D9C U+0DDA",79799
"මේ","U+0DB8 U+0DDA",79188
"පැ","U+0DB4 U+0DD0",78133
"ළි","U+0DC5 U+0DD2",76721
"කො","U+0D9A U+0DDC",74076
"ඩ","U+0DA9",73164
"දේ","U+0DAF U+0DDA",72846
"ටි","U+0DA7 U+0DD2",71488
"නො","U+0DB1 U+0DDC",67838
"නී","U+0DB1 U+0DD3",67758
"ර්","U+0DBB U+0DCA",65815
"ගැ","U+0D9C U+0DD0",64790
