akshara,codepoints,level,visual_key,glyph_count_noto,renderable,fused_noto,fused_mn,fused_sangam,main_glyph,mod_parts,nexts,parts_nfd,reading,wiki_freq,in_454
ය,U+0DBA,L2_cons,55,1,True,False,False,False,ය,,,SINHALA LETTER YAYANNA,ya,1699042,True
ව,U+0DC0,L2_cons,58,1,True,False,False,False,ව,,,SINHALA LETTER VAYANNA,va,1334005,True
න,U+0DB1,L2_cons,47,1,True,False,False,False,න,,,SINHALA LETTER DANTAJA NAYANNA,na,1050600,True
ර,U+0DBB,L2_cons,56,1,True,False,False,False,ර,,,SINHALA LETTER RAYANNA,ra,1005096,True
ක,U+0D9A,L2_cons,24,1,True,False,False,False,ක,,,SINHALA LETTER ALPAPRAANA KAYANNA,ka,963730,True
ම,U+0DB8,L2_cons,53,1,True,False,False,False,ම,,,SINHALA LETTER MAYANNA,ma,931960,True
ස,U+0DC3,L2_cons,61,1,True,False,False,False,ස,,,SINHALA LETTER DANTAJA SAYANNA,sa,805475,True
න්,U+0DB1 U+0DCA,L3_hal,209,1,True,False,False,False,න,hal@TOP,,SINHALA LETTER DANTAJA NAYANNA + SINHALA SIGN AL-LAKUNA,n,711351,True
ට,U+0DA7,L2_cons,37,1,True,False,False,False,ට,,,SINHALA LETTER ALPAPRAANA TTAYANNA,ṭa,629138,True
ත,U+0DAD,L2_cons,43,1,True,False,False,False,ත,,,SINHALA LETTER ALPAPRAANA TAYANNA,ta,613206,True
ල,U+0DBD,L2_cons,57,1,True,False,False,False,ල,,,SINHALA LETTER DANTAJA LAYANNA,la,604335,True
අ,U+0D85,L1_iv,6,1,True,False,False,False,අ,,,SINHALA LETTER AYANNA,a,581203,True
ප,U+0DB4,L2_cons,49,1,True,False,False,False,ප,,,SINHALA LETTER ALPAPRAANA PAYANNA,pa,550137,True
වි,U+0DC0 U+0DD2,L4_cons_dv,287,1,True,False,False,False,ව,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,,SINHALA LETTER VAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,vi,514147,True
හ,U+0DC4,L2_cons,62,1,True,False,False,False,හ,,,SINHALA LETTER HAYANNA,ha,473308,True
ද,U+0DAF,L2_cons,45,1,True,False,False,False,ද,,,SINHALA LETTER ALPAPRAANA DAYANNA,da,389786,True
ග,U+0D9C,L2_cons,26,1,True,False,False,False,ග,,,SINHALA LETTER ALPAPRAANA GAYANNA,ga,357976,True
ක්,U+0D9A U+0DCA,L3_hal,186,1,True,False,False,False,ක,hal@TOP,,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA,k,341065,True
ති,U+0DAD U+0DD2,L4_cons_dv,269,1,True,False,False,False,ත,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,,SINHALA LETTER ALPAPRAANA TAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,ti,329361,True
